Neighborhood,kWh per month
Primero de Mayo.,"[202.06654006 335.8914233  199.23567292 121.11843176 243.62156239
 320.44576791 467.36960523 255.86857883 268.90985794 346.1376473
 288.47817454 293.11242635 114.96067738 378.65939004 341.13991196
 464.95207565 452.93877835 183.48050103 459.15536598 131.23268354
 442.22613809 117.8090419  405.80548072 225.04550312 238.07325042
 104.26745853 106.80908297 140.84370569 160.77417133 302.23004888
 498.28382235 498.47511246 304.40349069 444.5507501  145.9929787
 220.13406865]"
Rebolo.,"[246.4776277  117.65932285 127.89287223 181.02069056 450.62929809
 283.74679996 220.83474257 485.42720507 468.18713256 332.41315431
 296.11457446 186.33026961 260.05708364 288.51726178 380.3129668
 390.63186553 486.63196334 165.15660917 263.89783985 474.51500843
 413.87157599 152.3133956  415.91353553 137.75532452 106.18436767
 386.11121732 162.28686662 306.67875086 460.2084056  299.57956999
 412.68680818 486.35414931 338.92778105 158.16902571 371.94370977
 380.00003419]"
San José.,"[385.67760818 487.37333796 381.22976283 461.73447442 389.8944457
 410.52958225 121.37877681 190.55445937 277.03541919 411.25936945
 241.778405   198.37372941 233.01097682 183.63386429 146.4700379
 298.24756409 198.55512485 435.38498027 478.06897511 373.43388188
 188.64469342 303.19732514 263.58405121 296.83642256 249.01599201
 304.39792514 246.71907064 445.37540187 326.1016546  213.51810367
 461.50256171 157.44830873 371.05807254 148.28197959 358.45756742
 483.98966699]"
San Nicolás.,"[236.93616574 464.3400706  413.41051661 488.82773383 370.07311418
 258.36994416 206.85282824 108.79266343 281.93503069 241.73151494
 169.1377108  154.74765119 359.92252827 129.4822492  386.4635087
 227.67685753 336.52134504 439.82631205 110.34481741 177.39046624
 203.08423834 189.27427691 326.64266239 314.89828994 368.81286008
 169.02966031 481.50326177 435.91878444 362.9310293  114.4403845
 258.32412555 371.95183422 414.00322684 138.95543485 157.26719844
 123.1234916 ]"
San Roque.,"[427.40883387 120.18222874 450.12446017 100.06662643 137.6133689
 113.12753735 499.84946972 255.84132453 468.40710011 217.73817143
 152.47456013 464.62566625 291.02880496 262.1928577  415.1695356
 324.04580317 482.48428067 230.71203891 471.02076396 138.91774056
 116.40930061 365.3566779  355.51841797 158.65183885 245.52570196
 162.56801537 346.24315714 319.13739008 419.8077695  135.88781309
 484.43672058 181.7510339  493.73378075 435.73951753 170.54434558
 443.20312509]"
Santa Helena.,"[123.04429013 343.38960925 101.78495273 407.23607635 362.85425964
 135.20975496 477.91890253 461.30539288 348.89994333 100.18474026
 189.45685868 121.70910564 399.61724433 402.27904448 433.92763659
 441.66416953 311.01074287 341.00083215 324.24277732 461.7091562
 182.77055301 484.83139123 198.5504211  436.69825697 486.2041198
 232.37911111 236.01657121 341.6726171  323.99347082 436.47764049
 208.88228272 499.43421069 203.29822349 322.66862114 336.13954961
 173.55005379]"
Simón Bolívar.,"[258.42203492 245.44967035 115.42160124 183.90164061 232.45371075
 391.76314019 320.77951029 480.98942093 310.42551055 183.07497651
 451.16229579 150.8384724  299.29633085 291.73726369 268.03102235
 474.25942306 439.61038685 238.98956955 414.50287673 230.4631864
 104.8028225  160.60032325 142.99481153 215.91476152 246.89770602
 238.11786246 358.98970447 483.11607899 277.63429087 498.30868851
 165.30899861 351.44574249 216.011535   430.55337931 165.60437238
 252.74218497]"
Tayrona.,"[215.95611146 215.91383204 274.4726908  183.64312779 360.93653155
 127.3684664  357.89971278 297.78970213 436.79988027 420.24473724
 328.25015176 448.23343325 181.23930449 288.6732416  239.22539239
 456.76635801 299.18385993 268.86154399 242.00771463 414.24568717
 209.91549671 326.92943223 312.90800387 275.46554737 308.88024902
 469.02925859 112.79235797 419.59927548 263.96378105 131.39634443
 117.24854836 240.74814933 371.38523805 293.09908586 403.62214501
 297.82821246]"
Universal I y II.,"[235.19108679 457.94169545 482.63755824 274.33059503 115.34560667
 386.27514134 446.02499082 207.28251413 112.88037352 210.78082974
 365.62665625 391.90560164 136.57647465 267.21059155 365.71314242
 421.78820156 212.64199123 256.86817727 279.15084845 230.84908152
 426.08946773 281.82684641 436.82922463 231.74209914 252.43693529
 346.96558265 433.06515887 245.85385588 199.65870208 109.29976844
 279.73920609 471.82512187 100.18817516 394.07345483 153.70634033
 332.42169113]"
Villa Blanca.,"[487.36015162 473.55853854 233.04694218 343.59169375 432.17685692
 498.0840188  378.55350631 400.13867306 266.14265361 203.30129825
 263.10124802 225.23624499 295.29354851 218.21244213 259.49351295
 318.32219004 420.45919075 334.35525534 246.31085453 173.21492133
 474.96365046 289.71200466 137.89935074 167.06851958 121.11118734
 453.61103507 168.10280482 224.33208571 358.73128234 466.49770425
 190.76693109 128.45139692 275.09061044 292.49468052 112.24045936
 379.18208389]"
Villa del Carmen.,"[483.53428602 454.22940712 125.63347913 270.31465364 155.93204239
 129.70799176 157.23110948 361.79872185 167.60339702 177.93208595
 323.62086202 123.11989141 352.00635879 345.0442449  410.10614977
 355.95848661 145.42615902 228.6740796  333.3377801  395.34701103
 343.33436853 431.26231136 126.46884554 333.34948079 141.22614842
 361.72049064 298.41321587 378.30509006 137.45433773 438.34631
 499.46737479 200.19605983 119.6929862  336.91420153 161.82129831
 449.04188855]"
Zona Franca.,"[112.06141552 100.09254759 188.06737424 361.37111033 444.78209465
 440.66322912 440.25086099 313.42354844 330.95313885 247.45068682
 169.69215196 133.59037564 153.09920163 330.55547481 421.31252086
 364.87264381 274.81653619 301.04520331 186.376685   350.72228222
 393.77793367 134.97976848 124.2334299  401.32469527 191.26787104
 295.95593128 424.74889965 143.86706198 297.14337637 421.21907452
 416.11851949 325.84836664 269.22747233 138.35735236 419.76835879
 154.26988185]"
